parcelid,bathrooms,bedrooms,sqft,county,fireplacecnt,garagecarcnt,lotsize,poolcnt,lat,long,logerror,tract,tax_value,Los Angeles,Orange,Ventura,age,4plusBath,3to5garage,4plusBR,fpover2
13016419,2.0,4.0,1444.0,Los Angeles,0.0,0.0,7490.0,1.0,34.148374,-117.932549,-0.0108247869874,4300,64364.0,1,0,0,58.0,0,0,1,0
12331197,2.0,3.0,1545.0,Los Angeles,0.0,0.0,8807.0,0.0,33.952336,-118.132573,-0.0223247711362,5508,81549.0,1,0,0,71.0,0,0,0,0
13939349,3.0,4.0,2286.0,Orange,0.0,2.0,8400.0,0.0,33.775387,-117.824133,0.0159103857381,758,330190.0,0,1,0,57.0,0,0,1,0
17209964,2.0,3.0,1431.0,Ventura,1.0,2.0,11100.0,0.0,34.213986,-118.883992,0.00692568399188,66,564363.0,0,0,1,59.0,0,0,0,0
14411957,2.5,3.0,1463.0,Orange,0.0,2.0,4400.0,0.0,33.520144,-117.700476,-0.00331792191034,423,330797.0,0,1,0,29.0,0,0,0,0
12851681,2.0,4.0,1438.0,Los Angeles,0.0,0.0,5753.0,0.0,33.985545,-117.878841,0.0044310482188599,4087,205382.0,1,0,0,46.0,0,0,1,0
12670092,2.0,5.0,2835.0,Los Angeles,0.0,0.0,8719.0,0.0,33.806014,-118.37397,0.217446948768,6513,624303.0,1,0,0,74.0,0,0,1,0
10887280,2.0,3.0,1461.0,Los Angeles,0.0,0.0,6648.0,0.0,34.183735,-118.411336,-0.0246922826111,1237,642030.0,1,0,0,75.0,0,0,0,0
11236418,2.0,3.0,1548.0,Los Angeles,0.0,0.0,7300.0,0.0,34.548943,-118.044769,0.0320594685317,9107,186394.0,1,0,0,27.0,0,0,0,0
14056768,3.0,4.0,2080.0,Orange,1.0,2.0,6270.0,0.0,33.676192,-117.983458,-0.0363152435943,992,259473.0,0,1,0,44.0,0,0,1,0
17273601,2.0,3.0,1441.0,Ventura,1.0,2.0,8416.0,0.0,34.18341,-118.93893,0.196291183557,60,510432.0,0,0,1,58.0,0,0,0,0
12690350,2.0,4.0,1890.0,Los Angeles,0.0,0.0,9720.0,0.0,33.790463,-118.377307,0.148831262783,6704,120901.0,1,0,0,61.0,0,0,1,0
14157108,2.5,4.0,2179.0,Orange,0.0,1.0,3612.0,0.0,33.927531,-117.844199,0.0395690611843,218,599723.0,0,1,0,20.0,0,0,1,0
11037489,2.0,3.0,1395.0,Los Angeles,0.0,0.0,7141.0,0.0,34.25203,-118.437661,-0.00460593902135,1190,440101.0,1,0,0,42.0,0,0,0,0
12786165,1.0,2.0,662.0,Los Angeles,0.0,0.0,7363.0,0.0,33.98466,-118.04688,-0.0455105299696,5014,110306.0,1,0,0,99.0,0,0,0,0
12618610,1.0,3.0,1003.0,Los Angeles,0.0,0.0,5004.0,0.0,33.803772,-118.259205,0.159577171087,2941,248916.0,1,0,0,78.0,0,0,0,0
11890762,2.0,3.0,2570.0,Los Angeles,0.0,0.0,12005.0,0.0,34.134918,-118.093685,0.116393451779,4642,180674.0,1,0,0,56.0,0,0,0,0
14123716,2.0,3.0,1545.0,Orange,0.0,2.0,6600.0,0.0,33.856982,-118.029769,0.0499087601017,1103,387607.0,0,1,0,61.0,0,0,0,0
12682173,3.0,4.0,2002.0,Los Angeles,0.0,0.0,6965.0,1.0,33.804754,-118.368723,0.11117937484,6513,432278.0,1,0,0,66.0,0,0,1,0
14495233,3.0,3.0,2096.0,Orange,0.0,2.0,1256.0,0.0,33.635667,-117.598148,0.0781720387441,320,612344.0,0,1,0,9.0,0,0,0,0
14465326,3.0,4.0,2897.0,Orange,0.0,2.0,6588.0,1.0,33.570669,-117.666981,0.00493931751182,320,707082.0,0,1,0,53.0,0,0,1,0
11713743,2.0,3.0,1940.0,Los Angeles,0.0,0.0,6074.0,0.0,34.008469,-118.349412,-0.156967785885,2364,844688.0,1,0,0,66.0,0,0,0,0
14320876,2.0,2.0,1640.0,Orange,1.0,2.0,8386.0,0.0,33.637398,-117.805269,0.0857803760005,626,933709.0,0,1,0,44.0,0,0,0,0
14495147,2.5,3.0,1574.0,Orange,0.0,1.0,2800.0,0.0,33.641623,-117.588438,0.5298379782720001,320,419110.0,0,1,0,25.0,0,0,0,0
11560324,2.0,3.0,1493.0,Los Angeles,0.0,0.0,6315.0,1.0,34.0269,-118.444576,-0.128629921378,2713,234103.0,1,0,0,85.0,0,0,0,0
10904546,2.0,2.0,1350.0,Los Angeles,0.0,0.0,7817.0,0.0,34.156571,-118.426267,0.0307929502203,1246,208585.0,1,0,0,75.0,0,0,0,0
12965843,2.0,2.0,1456.0,Los Angeles,0.0,0.0,7530.0,1.0,34.15222,-117.990797,-0.0590346492623,4303,629000.0,1,0,0,112.0,0,0,0,0
14481325,3.0,3.0,2398.0,Orange,0.0,2.0,4950.0,0.0,33.616171,-117.58472,0.0248927332677999,320,594159.0,0,1,0,35.0,0,0,0,0
10791641,2.0,4.0,2115.0,Los Angeles,0.0,0.0,11021.0,0.0,34.177999,-118.612697,0.031408801883,1372,109096.0,1,0,0,62.0,0,0,1,0
13970402,2.0,4.0,1292.0,Orange,1.0,1.0,6200.0,0.0,33.738357,-117.934029,0.00199263154932,992,310731.0,0,1,0,62.0,0,0,1,0
14469827,3.0,4.0,2674.0,Orange,0.0,2.0,5000.0,0.0,33.584113,-117.657408,0.0381237417193,320,349419.0,0,1,0,42.0,0,0,1,0
12124650,2.0,2.0,1250.0,Los Angeles,0.0,0.0,7982.0,0.0,34.141608,-118.075917,-0.161636053878,4631,150425.0,1,0,0,76.0,0,0,0,0
11287444,1.0,3.0,1376.0,Los Angeles,0.0,0.0,7313.0,0.0,34.711105,-118.142595,-0.00952840362762,9008,60366.0,1,0,0,67.0,0,0,0,0
14091155,1.5,3.0,1451.0,Orange,0.0,1.0,7229.0,0.0,33.761871,-118.026777,0.00311217540242,999,107653.0,0,1,0,63.0,0,0,0,0
12498703,2.0,3.0,1241.0,Los Angeles,0.0,0.0,3589.0,0.0,33.796332,-118.20128,-0.0356792417691,5730,285316.0,1,0,0,92.0,0,0,0,0
14464833,2.5,3.0,1584.0,Orange,0.0,2.0,2001.0,0.0,33.554764,-117.632859,0.0156046667657,320,459960.0,0,1,0,20.0,0,0,0,0
14279729,1.0,2.0,812.0,Orange,0.0,1.0,7920.0,0.0,33.628444,-117.915266,0.0324813777045999,633,286274.0,0,1,0,74.0,0,0,0,0
12421795,2.0,2.0,1192.0,Los Angeles,0.0,0.0,6714.0,0.0,33.853075,-118.104283,0.01887424981,5709,482000.0,1,0,0,67.0,0,0,0,0
14423119,3.0,3.0,2637.0,Orange,0.0,2.0,12000.0,0.0,33.508994,-117.626389,0.0144944962886,320,461610.0,0,1,0,28.0,0,0,0,0
14481554,3.0,5.0,3316.0,Orange,0.0,2.0,13650.0,0.0,33.601609,-117.577205,0.0130645745717999,320,573268.0,0,1,0,32.0,0,0,1,0
11214050,2.0,3.0,1524.0,Los Angeles,0.0,0.0,6483.0,0.0,34.561738,-118.023957,0.0112687235776,9107,197000.0,1,0,0,29.0,0,0,0,0
14407060,3.0,3.0,1555.0,Orange,0.0,2.0,3000.0,0.0,33.520136,-117.687833,0.0305537254133,423,338296.0,0,1,0,36.0,0,0,0,0
14193306,2.5,4.0,1564.0,Orange,1.0,2.0,1637.0,0.0,33.890396,-117.790748,-0.0115791786523,218,74591.0,0,1,0,49.0,0,0,1,0
14288553,2.0,2.0,1054.0,Orange,0.0,1.0,1967.0,0.0,33.722158,-117.806732,-0.0168358808586,525,347096.0,0,1,0,46.0,0,0,0,0
11415854,1.0,2.0,1216.0,Los Angeles,0.0,0.0,6765.0,0.0,33.93551,-118.34703,0.0651871943668,6017,277203.0,1,0,0,102.0,0,0,0,0
12867928,3.0,3.0,2284.0,Los Angeles,0.0,0.0,13083.0,0.0,34.10381,-117.728657,-0.045838908082,4019,588502.0,1,0,0,64.0,0,0,0,0
